Participant,UnityTime,CurrentSession,ConstrictedSize,DilatedSize,CurrentStimuli,StimuliStartSize,StimuliEndSize,StimuliPupilSize,PupilSizeChanging,PupilDataActive,LeftPupilSize,RightPupilSize,Frame
2,13:20:59:436,1,9,1,Human,1,0,0,False,False,0,0,148
2,13:20:59:448,1,9,1,Human,1,0,0,False,False,0,0,149
2,13:20:59:459,1,9,1,Human,1,0,0,False,False,0,0,150
2,13:20:59:470,1,9,1,Human,1,0,0,False,False,0,0,151
2,13:20:59:482,1,9,1,Human,1,0,0,False,False,0,0,152
2,13:20:59:492,1,9,1,Human,1,0,0,False,False,0,0,153
2,13:20:59:504,1,9,1,Human,1,0,0,False,False,0,0,154
2,13:20:59:515,1,9,1,Human,1,0,0,False,False,0,0,155
2,13:20:59:526,1,9,1,Human,1,0,0,False,False,0,0,156
2,13:20:59:537,1,9,1,Human,1,0,0,False,False,0,0,157
2,13:20:59:548,1,9,1,Human,1,0,0,False,False,0,0,158
2,13:20:59:559,1,9,1,Human,1,0,0,False,False,0,0,159
2,13:20:59:570,1,9,1,Human,1,0,0,False,False,0,0,160
2,13:20:59:581,1,9,1,Human,1,0,0,False,False,0,0,161
2,13:20:59:593,1,9,1,Human,1,0,0,False,False,0,0,162
2,13:20:59:607,1,9,1,Human,1,0,0,False,False,0,0,163
2,13:20:59:615,1,9,1,Human,1,0,0,False,False,0,0,164
2,13:20:59:627,1,9,1,Human,1,0,0,False,False,0,0,165
2,13:20:59:637,1,9,1,Human,1,0,0,False,False,0,0,166
2,13:20:59:649,1,9,1,Human,1,0,0,False,False,0,0,167
2,13:20:59:660,1,9,1,Human,1,0,0,False,False,0,0,168
2,13:20:59:671,1,9,1,Human,1,0,0,False,False,0,0,169
2,13:20:59:682,1,9,1,Human,1,0,0,False,False,0,0,170
2,13:20:59:693,1,9,1,Human,1,0,0,False,False,0,0,171
2,13:20:59:705,1,9,1,Human,1,0,0,False,False,0,0,172
2,13:20:59:716,1,9,1,Human,1,0,0,False,False,0,0,173
